Label,node2,node3,node4,node5,node6,Area Wear
1,8.079707822,7.317809229,9.23623114,3.695662472,8.349495727,1.1504996
1,13.11206826,10.8192105,9.59749063,2.743078379,5.440273281,1.151498401
1,13.18972745,9.036805067,6.588632074,5.70464944,4.164091149,1.152496402
1,9.228344863,8.698594655,7.387535469,4.858421494,6.59823725,1.153493605
1,10.26131093,6.997642535,9.463892988,3.797864855,6.276934288,1.15449001
1,13.30456345,14.16479312,9.212485478,2.997868203,5.666352864,1.155485617
1,11.85939088,13.52926833,8.719331711,3.885032367,5.277245049,1.156480427
1,13.15166863,8.67408019,7.551124826,6.982264948,5.182769448,1.157474441
1,13.63952718,10.81813986,4.845640687,8.163462266,5.099250226,1.158467658
1,14.03304473,11.7287486,6.750975651,8.294659728,5.639496437,1.15946008
1,14.0026673,8.019596113,8.328121142,4.642188797,5.307317112,1.160451706
1,11.89294792,13.16945206,9.901402368,2.814294878,5.608010558,1.161442538
1,12.94800028,8.886709169,8.249107056,3.132672824,4.677438208,1.162432576
1,14.34039684,11.45910257,7.62280641,5.14320351,4.767260026,1.16342182
1,13.53135273,9.084874715,7.559946099,7.271370756,4.84875635,1.16441027
1,13.73376082,7.540222644,5.945304459,6.622924461,5.731804145,1.165397928
1,14.32883098,8.030658358,5.744704632,6.205796997,4.846235185,1.166384793
1,19.5468639,7.978919553,7.448105868,7.922170556,8.506905968,1.167370867
1,13.83660788,8.603847208,4.553030774,7.465611814,8.164949885,1.168356149
1,12.67215648,8.301623991,6.528689808,5.289439345,7.758682512,1.16934064
1,13.24159659,8.904587308,9.294890956,3.128326649,7.892124974,1.170324341
1,11.34808087,10.07924067,9.00244885,2.741826965,8.286919454,1.171307252
1,14.78867733,6.079820417,7.720503654,3.641772384,8.765055621,1.172289373
1,9.632302698,8.021243802,4.602834835,3.946005301,5.107343616,1.173270706
1,7.181885507,10.48393229,8.456067327,3.938309653,7.608211021,1.17425125
1,13.34976004,10.87510754,6.881475552,7.2436657,7.57677844,1.175231006
1,11.44528706,16.07797922,5.728440963,7.681580588,8.2227586,1.176209975
1,16.37768509,11.48667202,8.717613934,6.385441046,8.675838221,1.177188156
1,11.30955992,17.65421375,12.06543671,5.555410767,8.390810283,1.178165551
1,15.51663675,15.25256344,11.08058459,5.597218385,7.378528313,1.17914216
1,14.76061101,16.92939357,9.585650346,6.868137626,6.937523537,1.180117983
1,13.19532201,15.26593817,8.252764114,8.844142949,6.506019444,1.181093021
1,12.79901385,12.99060834,5.978605743,9.728843499,6.556074045,1.182067275
1,10.58738445,12.25084512,6.219025336,7.116801613,6.090900399,1.183040744
1,9.224492698,11.25106096,9.293730708,5.686812479,6.587101717,1.18401343
1,11.5071864,11.4595833,10.64449369,5.432567211,6.985547824,1.184985332
1,11.29649504,12.84749399,8.298824086,6.048342455,6.204411879,1.185956452
